date,Month,city_name,category,item_id,item_name,qty_sold,mrp,,
17-12-2023,Dec,Meerut,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
06-11-2023,Nov,Meerut,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
13-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),3,14997,,
16-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),15,15735,,
23-11-2023,Nov,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),24,25176,,
12-11-2023,Nov,Zirakpur,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
19-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),5,24995,,
12-12-2023,Dec,Ludhiana,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
17-10-2023,Oct,Gurgaon,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),20,20980,,
21-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10049041,Jivo Pomace Olive Oil(Tin),2,9998,,
21-11-2023,Nov,Amritsar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
09-11-2023,Nov,Ludhiana,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,4,1500,,
16-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),6,6294,,
02-11-2023,Nov,Amritsar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,2,750,,
13-12-2023,Dec,Delhi,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,58,21750,,
21-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
16-10-2023,Oct,Amritsar,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
08-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
30-11-2023,Nov,Faridabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,7,2625,,
13-12-2023,Dec,Zirakpur,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,6,2250,,
12-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),28,29372,,
18-10-2023,Oct,Chandigarh,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
25-10-2023,Oct,Meerut,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
22-12-2023,Dec,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,18,6750,,
10-11-2023,Nov,Meerut,"Dry Fruits, Masala & Oil",10143020,Jivo Pomace Olive Oil(Bottle),1,1049,,
03-10-2023,Oct,Jalandhar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
13-12-2023,Dec,Gurgaon,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,8,3000,,
27-10-2023,Oct,Ghaziabad,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,20,7500,,
23-11-2023,Nov,Dehradun,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),1,1650,,
11-11-2023,Nov,Jalandhar,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,5,1875,,
31-10-2023,Oct,Mohali,"Dry Fruits, Masala & Oil",10049199,Jivo Cold Press Canola Oil,1,375,,
29-12-2023,Dec,Faridabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),2,3300,,
04-11-2023,Nov,Ghaziabad,"Dry Fruits, Masala & Oil",10048295,Jivo Cold Press Canola Oil (5 l),4,6600,,
